rssi,signal,mac,location
35,-61,78:8a:20:80:45:b6,Kitchen
35,-61,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
35,-61,78:8a:20:80:45:b6,Kitchen
32,-64,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
38,-58,78:8a:20:80:45:b6,Kitchen
39,-57,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
40,-56,78:8a:20:80:45:b6,Kitchen
37,-59,78:8a:20:80:45:b6,Kitchen
37,-59,78:8a:20:80:45:b6,Kitchen
37,-59,78:8a:20:80:45:b6,Kitchen
37,-59,78:8a:20:80:45:b6,Kitchen
37,-59,78:8a:20:80:45:b6,Kitchen
37,-59,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
32,-64,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
