rssi,signal,mac,location
44,-52,78:8a:20:80:45:b6,Living
44,-52,78:8a:20:80:45:b6,Living
44,-52,78:8a:20:80:45:b6,Living
44,-52,78:8a:20:80:45:b6,Living
44,-52,78:8a:20:80:45:b6,Living
44,-52,78:8a:20:80:45:b6,Living
44,-52,78:8a:20:80:45:b6,Living
44,-52,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
41,-55,78:8a:20:80:45:b6,Living
41,-55,78:8a:20:80:45:b6,Living
41,-55,78:8a:20:80:45:b6,Living
40,-56,78:8a:20:80:45:b6,Living
41,-55,78:8a:20:80:45:b6,Living
41,-55,78:8a:20:80:45:b6,Living
41,-55,78:8a:20:80:45:b6,Living
42,-54,78:8a:20:80:45:b6,Living
42,-54,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
29,-67,78:8a:20:80:45:b6,Living
40,-56,fc:ec:da:37:79:6a,Bedroom
39,-57,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
42,-54,fc:ec:da:37:79:6a,Bedroom
42,-54,fc:ec:da:37:79:6a,Bedroom
43,-53,fc:ec:da:37:79:6a,Bedroom
43,-53,fc:ec:da:37:79:6a,Bedroom
43,-53,fc:ec:da:37:79:6a,Bedroom
42,-54,fc:ec:da:37:79:6a,Bedroom
42,-54,fc:ec:da:37:79:6a,Bedroom
42,-54,fc:ec:da:37:79:6a,Bedroom
42,-54,fc:ec:da:37:79:6a,Bedroom
42,-54,fc:ec:da:37:79:6a,Bedroom
41,-55,fc:ec:da:37:79:6a,Bedroom
41,-55,fc:ec:da:37:79:6a,Bedroom
41,-55,fc:ec:da:37:79:6a,Bedroom
41,-55,fc:ec:da:37:79:6a,Bedroom
41,-55,fc:ec:da:37:79:6a,Bedroom
